billboard_id,name,artist,featuring,album_name,release_date,streaming_revenue_spotify,alltime_spotify_streams,genre
1,Last Night,Morgan Wallen,n/a,One Thing At A Time ,2023-03-03,2495027.835,831675945,Country
2,Flowers,Miley Cyrus,n/a,Endless Summer Vacation,2023-08-18,5716897.503,1905632501,Pop
3,Kill Bill,SZA,n/a,SOS,2022-12-09,5271330.738,1757110246,RnB
4,Anti-Hero,Taylor Swift,n/a,Midnights,2022-10-21,4480251.99,1493417330,Pop
5,Creepin',Metro Boomin,The Weeknd & 21 Savage,,2022-12-02,3818030.466,1272676822,RnB
6,Calm Down,Rema,Selena Gomez,Single,2022-08-25,3983410.866,1327803622,Afrobeats
7,Die For You,The Weeknd,Ariana Grande,Single,2023-02-27,2551698.084,850566028,RnB
8,Fast Car,Luke Combs,n/a,Gettin' Old,2023-03-24,1357868.541,452622847,Country
9,Snooze,SZA,n/a,SOS,2022-12-09,2678312.589,892770863,RnB
10,I'm Good (Blue),David Guetta,Bebe Rexha,Single,2022-08-16,4650393.468,1550131156,Pop
11,Unholy,Sam Smith,Kim Petras,Single,2022-09-22,4517862.831,1505954277,Pop
12,You Proof,Morgan Wallen,n/a,One Thing At A Time,2023-03-03,1746001.884,582000628,Country
13,Something In The Orange,Zach Bryan,n/a,Single,2022-04-22,2412498.96,804166320,Country
14,Rich Flex,Drake,21 Savage,Her Loss,2022-11-04,2353802.886,784600962,Rap
15,As It Was,Harry Styles,n/a,Harry's House,2022-05-20,9409735.641,3136578547,Pop
16,Rock And A Hard Place,Bailey Zimmerman,n/a,Religiously. The Album.,2023-01-11,1152655.233,384218411,Country
17,Under The Influence,Chris Brown,n/a,Indigo (Extended),2019-10-04,3560571.483,1186857161,RnB
18,Cruel Summer,Taylor Swift,n/a,Lover,2019-08-23,5947417.758,1982472586,Country
19,Thinkin' Bout Me,Morgan Wallen,n/a,One Thing At A Time,2023-03-03,1015178.103,338392701,Country
20,"Boy's A Liar, Pt. 2",PinkPantheress,Ice Spice,Single,2023-02-03,2466590.685,822196895,Rap
21,Favorite Song,Toosii,n/a,Single,2023-02-17,523955.19,174651730,Rap
22,Thought You Should Know,Morgan Wallen,n/a,One Thing At A Time,2023-03-03,937796.88,312598960,Country
23,Thank God,Kane Brown,Katelyn Brown,Different Man,2022-09-09,440534.967,146844989,Country
24,Sure Thing,Miguel,n/a,All I Want Is You,2010-11-26,3776740.902,1258913634,Pop
25,All My Life,Lil Durk,J. Cole,Single,2023-05-12,944393.907,314797969,Rap
26,Ella Baila Sola,Eslabon Armado,Peso Pluma,Single,2023-03-16,3479467.269,1159822423,Rap
27,Karma,Taylor Swift,Ice Spice,Midnights,2022-10-21,2201710.839,733903613,Pop
28,Just Wanna Rock,Lil Uzi Vert,n/a,Single,2022-10-17,1917986.679,639328893,Rap
29,Cuff It,Beyonce,n/a,RENAISSANCE,2022-07-29,2313967.095,771322365,RnB
30,Vampire,Olivia Rodrigo,n/a,GUTS,2023-09-08,2695915.986,898638662,Indie
31,Fukumean,Gunna,n/a,a Gift & a Curse,2023-06-16,2072375.97,690791990,Rap
32,Lavender Haze,Taylor Swift,n/a,Midnights,2022-10-21,2051446.536,683815512,Pop
33,Players,Coi Leray,n/a,Single,2022-11-30,1349220.369,449740123,Rap
34,Need A Favor,Jelly Roll,n/a,Whitsitt Chapel,2023-06-02,431712.516,143904172,Country
35,Dance The Night,Dua Lipa,n/a,Barbie The Album,2023-07-21,235655.76,785551920,Pop
36,Love You Anyway,Luke Combs,n/a,Gettin' Old,2023-03-24,452386.584,150795528,Country
37,One Thing At A Time,Morgan Wallen,n/a,One Thing At A Time,2023-03-03,694261.047,231420349,Country
38,Superhero ,Metro Boomin,Future & Chris Brown,HEROES & VILLAINS,2022-12-02,1969879.185,656626395,Rap
